timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2024-12-01 00:00:00,96407.99,96524.0,96350.13,96508.29,35.87706,1733011499999,3459760.3995379,10233,19.01492,1833852.075391,0
2024-12-01 00:05:00,96508.29,96541.36,96485.94,96541.36,32.12217,1733011799999,3100054.9439922,8493,23.02962,2222533.151927,0
2024-12-01 00:10:00,96541.36,96584.0,96540.0,96566.33,30.77671,1733012099999,2971755.8821999,6247,16.65161,1607876.7827091,0
2024-12-01 00:15:00,96566.33,96581.65,96515.12,96553.61,33.4656,1733012399999,3231014.8492714,13603,11.99278,1157816.1588832,0
2024-12-01 00:20:00,96553.6,96595.77,96524.02,96555.15,24.24526,1733012699999,2341133.1425757,10729,12.82354,1238202.6452035,0
2024-12-01 00:25:00,96555.16,96608.0,96525.39,96601.41,33.24748,1733012999999,3210989.9125886,9213,11.10556,1072486.5310452,0
2024-12-01 00:30:00,96601.4,96672.49,96584.08,96672.49,33.74103,1733013299999,3260266.4036914,5912,23.47758,2268653.1216194,0
2024-12-01 00:35:00,96672.49,96672.49,96481.0,96487.82,71.99903,1733013599999,6953269.5124172,16773,21.16632,2043992.9487843,0
2024-12-01 00:40:00,96487.81,96500.0,96260.0,96272.27,57.96158,1733013899999,5584894.9728218,19092,15.53129,1496481.8437282,0
2024-12-01 00:45:00,96272.26,96415.48,96264.11,96415.21,74.87381,1733014199999,7213122.2412337,21063,42.76352,4119754.6504547,0
2024-12-01 00:50:00,96415.21,96443.99,96312.08,96436.01,50.47677,1733014499999,4865454.1691106,17912,22.04047,2124491.9382379,0
2024-12-01 00:55:00,96436.01,96436.02,96285.52,96340.6,54.16738,1733014799999,5218932.3666936,15423,26.68198,2570325.2541076,0
2024-12-01 01:00:00,96340.61,96414.49,96162.0,96180.0,94.28419,1733015099999,9078372.5671217,23317,28.74169,2767780.7452417,0
2024-12-01 01:05:00,96179.99,96250.97,96151.67,96212.56,59.13244,1733015399999,5688544.4612847,15939,28.11255,2704528.6984635,0
2024-12-01 01:10:00,96212.56,96279.58,96200.0,96251.52,32.47995,1733015699999,3125882.8795405,17724,12.05416,1160033.5899536,0
2024-12-01 01:15:00,96251.51,96259.92,96168.98,96201.86,49.70748,1733015999999,4781789.9932433,15656,16.12384,1551104.7472289,0
2024-12-01 01:20:00,96201.87,96458.12,96194.88,96419.08,81.93267,1733016299999,7896647.6434944,15251,48.41536,4666022.163722,0
2024-12-01 01:25:00,96419.09,96467.99,96410.58,96431.99,44.55824,1733016599999,4296923.3755236,8055,21.62564,2085375.6102677,0
2024-12-01 01:30:00,96431.98,96497.67,96420.0,96466.21,43.40372,1733016899999,4186892.6913996,12528,22.79503,2198951.456032,0
2024-12-01 01:35:00,96466.22,96500.0,96380.11,96421.04,39.94695,1733017199999,3853460.1626071,8155,14.54732,1403081.325713,0
2024-12-01 01:40:00,96421.04,96477.11,96399.55,96437.34,28.06287,1733017499999,2706440.4960697,8459,11.04339,1065137.5562123,0
2024-12-01 01:45:00,96437.34,96516.0,96340.3,96390.42,155.04194,1733017799999,14951932.2130458,15079,25.8524,2493519.2306235,0
2024-12-01 01:50:00,96390.42,96403.39,96168.0,96200.0,49.15909,1733018099999,4732590.6556775,13076,15.673,1508334.4622941,0
2024-12-01 01:55:00,96200.0,96203.93,96044.21,96106.62,79.12567,1733018399999,7604457.0237179,18262,28.30845,2720838.1360419,0
2024-12-01 02:00:00,96106.62,96216.0,96036.5,96172.0,121.02704,1733018699999,11629664.5040774,19965,31.79687,3056375.1841617,0
2024-12-01 02:05:00,96172.0,96207.2,96111.11,96183.48,56.06802,1733018999999,5390849.2017131,14927,20.12318,1934877.0747639,0
2024-12-01 02:10:00,96183.48,96518.88,96058.52,96151.97,1077.92659,1733019299999,103738432.2952639,62740,575.00217,55338234.2335946,0
